Numéro séquentiel,Nature des dommages,Type d'usager,Type de véhicule,Marque,Modèle,Cylindré,Année de fabrication
2404,Graves,Cycliste,Automobile,KIA,SPECT,002001,2005
206,Graves,Cycliste,Automobile,HYUND,SONAT,002361,2009
3407,Graves,Cycliste,Automobile,CHRYS,CONCO,002739,1999
529,Graves,Cycliste,Véhicule léger non précisé,,,,
708,Graves,Cycliste,Fourgonnette,FORD,CTV,006806,2009
1037,Graves,Cycliste,Camion,STERL,STE,012824,2010
1882,Graves,Cycliste,Automobile,HONDA,ACCOR,003001,1999
2405,Graves,Cycliste,Automobile,CHEVR,COBAL,002197,2009
2210,Graves,Cycliste,Automobile,TOYOT,CAMRY,002394,2007
1702,Graves,Cycliste,Automobile,TOYOT,CAMRY,002361,2003
2748,Graves,Cycliste,Véhicule léger non précisé,,,,
2749,Graves,Cycliste,Automobile,TOYOT,CAMRY,002165,1999
608,Graves,Cycliste,VUS,HUMME,H3,003706,2007
1038,Graves,Cycliste,Automobile,VOLKS,GOLF,001984,2004
1038,Graves,Cycliste,Automobile,CHEVR,IMPAL,003509,2007
1038,Graves,Cycliste,Automobile,CHEVR,COBAL,002197,2010
696,Graves,Cycliste,Automobile,PONTI,VIBE,001804,2007
2211,Graves,Cycliste,Automobile,BMW,323I,002493,2011
1635,Graves,Cycliste,VUS,HYUND,TUCSO,002001,2013
2554,Graves,Cycliste,VUS,HONDA,PILOT,003477,2004
965,Graves,Cycliste,Camionnette,CHEVR,COLOR,003509,2004
1259,Graves,Cycliste,Camion,STERL,STE,012824,2006
3504,Graves,Cycliste,Automobile,CHEVR,MALIB,002394,2010
1022,Graves,Cycliste,Automobile,VOLKS,JETTA,001984,2012
318,Graves,Cycliste,VUS,BUICK,RENDE,003345,2003
966,Graves,Cycliste,VUS,CHEVR,BLAZE,004297,2000
1441,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2005
2234,Graves,Cycliste,Véhicule léger non précisé,,,,
1457,Graves,Cycliste,Automobile,VOLKS,JETTA,001968,2013
2755,Graves,Cycliste,Automobile,HONDA,CIVIC,001591,2000
2756,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2009
2582,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2003
4213,Graves,Cycliste,Automobile,KIA,RIO,001607,2009
4213,Graves,Cycliste,VUS,LEXUS,RX350,003444,2013
1704,Graves,Cycliste,VUS,SUZUK,XL7,002739,2002
1349,Graves,Cycliste,Automobile,CHEVR,CAVAL,002197,2005
3894,Graves,Cycliste,Tracteur routier,,,,
4215,Graves,Cycliste,Automobile,TOYOT,COROL,001804,2010
2273,Graves,Cycliste,Véhicule léger non précisé,,,,
3385,Graves,Cycliste,Automobile,FORD,CROWN,004608,2010
2235,Graves,Cycliste,Automobile,NISSA,ALTIM,002394,2000
2408,Graves,Cycliste,Automobile,TOYOT,COROL,001591,1997
2758,Graves,Cycliste,Automobile,TOYOT,COROL,001804,2012
697,Graves,Cycliste,Autres,,,,
2378,Graves,Cycliste,Véhicule léger non précisé,,,,
3582,Graves,Cycliste,Véhicule-outil,,,,
4387,Graves,Cycliste,Camion,KENWO,CON,008281,2006
609,Graves,Cycliste,Véhicule léger non précisé,,,,
610,Graves,Cycliste,Camion,,,,
610,Graves,Cycliste,Automobile,NOVAB,LFS,000000,2006
1418,Graves,Cycliste,Automobile,PORSC,BOXTE,002476,1999
1460,Graves,Cycliste,Automobile,PONTI,GRAND,003788,2005
1461,Graves,Cycliste,Fourgonnette,DODGE,CARAV,002968,2000
895,Graves,Cycliste,Automobile,NISSA,ALTIM,003509,2002
2031,Graves,Cycliste,VUS,HYUND,SANTA,002361,2011
4216,Graves,Cycliste,VUS,LEXUS,RX350,003460,2010
2032,Graves,Cycliste,Automobile,FORD,FOCUS,002000,2002
5,Graves,Cycliste,Camionnette,GMC,SIE,005740,1997
711,Graves,Cycliste,Véhicule léger non précisé,,,,
2761,Graves,Cycliste,VUS,NISSA,X-TRA,002509,2005
2033,Graves,Cycliste,Automobile,BMW,328I,003001,2007
1140,Graves,Cycliste,Véhicule léger non précisé,,,,
1140,Graves,Cycliste,Automobile,KIA,OPTIM,002001,2013
612,Graves,Cycliste,Automobile,MAZDA,3,002001,2008
3514,Graves,Cycliste,Camionnette,CHEVR,SILVE,005297,2012
3267,Graves,Cycliste,Véhicule léger non précisé,,,,
2763,Graves,Cycliste,Automobile,TOYOT,COROL,001800,2012
81,Graves,Cycliste,Automobile,CHEVR,COBAL,002197,2009
2764,Graves,Cycliste,VUS,ISUZU,NQR,005198,2012
1419,Graves,Cycliste,VUS,JEEP,TJ,003969,1999
1885,Graves,Cycliste,Automobile,CHEVR,COBAL,002197,2010
4217,Graves,Cycliste,Automobile,MAZDA,3,002001,2005
4281,Graves,Cycliste,Automobile,CHEVR,MALIB,002197,2007
2767,Graves,Cycliste,Camion,MACK,700,011938,1995
2767,Graves,Cycliste,Fourgonnette,FORD,CSC,005412,2003
665,Graves,Cycliste,Camionnette,FORD,F150,003700,2013
1351,Graves,Cycliste,VUS,HONDA,CR-V,001968,1998
2690,Graves,Cycliste,Automobile,MAZDA,3,002001,2005
3896,Graves,Cycliste,Automobile,KIA,RIO,001607,2006
847,Graves,Cycliste,Automobile,HYUND,SONAT,002361,2011
1886,Graves,Cycliste,Véhicule léger non précisé,,,,
3592,Graves,Cycliste,Automobile,CADIL,CTS,003181,2003
532,Graves,Cycliste,Automobile,SUBAR,IMPRE,002460,2009
2037,Graves,Cycliste,VUS,SUBAR,FORES,002460,2004
1025,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2010
2039,Graves,Cycliste,VUS,KIA,SOUL,002001,2011
2410,Graves,Cycliste,Automobile,SATUR,ION,002197,2007
2487,Graves,Cycliste,Automobile,HONDA,ACCOR,003000,2005
613,Graves,Cycliste,Automobile,CHRYS,TWC,003772,2001
1325,Graves,Cycliste,VUS,TOYOT,RAV4,002509,2011
1708,Graves,Cycliste,VUS,HYUND,SANTA,002361,2010
